model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
ces,alpha,rho,0.05,0.7,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.509210656023416e-06,3.1018619456183044e-09,1.0315424425166801,1.0310659268771374,1.0310792400316113,3.293900938901639,3.294060154362886,3.2940546373060258,0.00011040422932490001,1.1014298699763003e-06
ces,alpha,rho,0.25,-0.7,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.580583827116641e-05,1.6152752386622027e-08,8.087343682703967,8.087575785188395,8.08757222180109,2.3592980915359636,2.359301970336295,2.359302096160384,1.7985625081706758e-05,1.9914383742047906e-07
ces,alpha,rho,0.25,-0.3,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,1.8278154728564085e-05,1.470977809859803e-08,10.234343375907045,10.23469002761954,10.234686153005931,2.2573955552703104,2.257393194812545,2.257393009981431,3.0182392674049652e-05,3.122777663122634e-07
ces,alpha,rho,0.25,-0.1,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1962404693868354e-05,1.3638848981744664e-08,10.02422985753357,10.022121253870779,10.02212823787868,2.2615504217442606,2.2614934137988207,2.261493572480773,4.145842529013066e-05,2.816734898658524e-07
ces,alpha,rho,0.25,0.3,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,3.7583595400627783e-06,5.409478678128216e-09,10.615306488545839,10.614518970047492,10.614500826318523,2.2315487281120756,2.2315481687930085,2.231548297492608,2.5546539163201487e-05,2.834461980683045e-07
ces,alpha,rho,0.25,0.7,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,1.72587501382309e-06,2.527663910676294e-09,10.46424402982828,10.464466572821827,10.464465461306398,2.2778482007351823,2.277833454239891,2.2778334798425925,1.0121736440993345e-05,7.913285671179437e-08
ces,alpha,rho,0.5,-0.7,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,5.335526306178615e-06,1.1925918919505391e-08,14.752354177544358,14.752508256381649,14.752502225640615,2.0340367485444917,2.0340345900359456,2.0340346060403194,6.451288612652206e-06,6.435523047798597e-08
ces,alpha,rho,0.5,-0.3,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,5.259414548559821e-06,1.149406256581592e-08,15.861283519071819,15.861698202434157,15.861693801055054,2.0076310705857416,2.007644992114308,2.007645109771451,1.2324725219059474e-05,9.574455006600148e-08
ces,alpha,rho,0.5,-0.1,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,4.757941233735714e-06,1.0867485245177544e-08,16.5890029618514,16.588451429443378,16.588443461974332,2.0018452768429404,2.001885421024771,2.0018856050155818,1.5342460564227167e-05,2.255400914918937e-07
ces,alpha,rho,0.5,0.3,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,4.530335334188911e-06,8.354675109602065e-09,16.663850834806198,16.664600516104215,16.66458923259894,1.9992190911350474,1.9992411726853843,1.9992414626066926,1.8164321030411656e-05,2.1074814782195972e-07
